t,true_value,signal,bid,ask,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
292,15.210295,17.579539,16.579539,18.579539,sell_to_mm,16.579539,17,-556.742035,-298.167019,2.890000,-301.057019
293,15.547862,18.247723,17.247723,19.247723,none,0.000000,17,-556.742035,-292.428377,2.890000,-295.318377
294,13.533525,14.622304,13.622304,15.622304,sell_to_mm,13.622304,18,-570.364340,-326.760888,3.240000,-330.000888
295,14.725260,11.092194,10.092194,12.092194,buy_from_mm,12.092194,17,-558.272146,-307.942729,2.890000,-310.832729
296,13.418876,8.399776,7.399776,9.399776,buy_from_mm,9.399776,16,-548.872370,-334.170351,2.560000,-336.730351
297,13.652917,16.900676,15.900676,17.900676,sell_to_mm,15.900676,17,-564.773046,-332.673463,2.890000,-335.563463
298,14.169291,10.478829,9.478829,11.478829,buy_from_mm,11.478829,16,-553.294217,-326.585555,2.560000,-329.145555
299,13.968680,9.232350,8.232350,10.232350,none,0.000000,16,-553.294217,-329.795334,2.560000,-332.355334
300,14.046531,10.824925,9.824925,11.824925,buy_from_mm,11.824925,15,-541.469292,-330.771333,2.250000,-333.021333
301,15.041949,13.533919,12.533919,14.533919,buy_from_mm,14.533919,14,-526.935373,-316.348086,1.960000,-318.308086
302,14.786462,20.628350,19.628350,21.628350,sell_to_mm,19.628350,15,-546.563723,-324.766798,2.250000,-327.016798
303,14.354235,12.728776,11.728776,13.728776,none,0.000000,15,-546.563723,-331.250200,2.250000,-333.500200
304,15.281112,10.588355,9.588355,11.588355,none,0.000000,15,-546.563723,-317.347036,2.250000,-319.597036
305,15.608665,18.956283,17.956283,19.956283,sell_to_mm,17.956283,16,-564.520006,-314.781364,2.560000,-317.341364
306,13.195941,11.771511,10.771511,12.771511,none,0.000000,16,-564.520006,-353.384948,2.560000,-355.944948
307,12.857329,13.123048,12.123048,14.123048,buy_from_mm,14.123048,15,-550.396958,-357.537018,2.250000,-359.787018
308,14.429727,9.011246,8.011246,10.011246,buy_from_mm,10.011246,14,-540.385712,-338.369541,1.960000,-340.329541
309,15.185566,14.264809,13.264809,15.264809,buy_from_mm,15.264809,13,-525.120904,-327.708550,1.690000,-329.398550
310,15.496344,16.121939,15.121939,17.121939,sell_to_mm,15.121939,14,-540.242842,-323.294021,1.960000,-325.254021
311,15.852953,14.548047,13.548047,15.548047,buy_from_mm,15.548047,13,-524.694796,-318.606406,1.690000,-320.296406
312,16.275153,17.730191,16.730191,18.730191,none,0.000000,13,-524.694796,-313.117805,1.690000,-314.807805
313,17.356443,13.888256,12.888256,14.888256,none,0.000000,13,-524.694796,-299.061030,1.690000,-300.751030
314,16.006683,10.420766,9.420766,11.420766,none,0.000000,13,-524.694796,-316.607923,1.690000,-318.297923
315,16.319404,10.990993,9.990993,11.990993,none,0.000000,13,-524.694796,-312.542540,1.690000,-314.232540
316,17.120348,20.302550,19.302550,21.302550,sell_to_mm,19.302550,14,-543.997346,-304.312480,1.960000,-306.272480
317,16.879993,18.312578,17.312578,19.312578,sell_to_mm,17.312578,15,-561.309924,-308.110035,2.250000,-310.360035
318,15.562396,21.067462,20.067462,22.067462,sell_to_mm,20.067462,16,-581.377386,-332.379050,2.560000,-334.939050
319,16.186546,21.879207,20.879207,22.879207,none,0.000000,16,-581.377386,-322.392658,2.560000,-324.952658
320,16.245679,3.660378,2.660378,4.660378,none,0.000000,16,-581.377386,-321.446529,2.560000,-324.006529
321,16.039805,19.403421,18.403421,20.403421,sell_to_mm,18.403421,17,-599.780807,-327.104114,2.890000,-329.994114
322,15.655920,17.433865,16.433865,18.433865,none,0.000000,17,-599.780807,-333.630161,2.890000,-336.520161
323,15.728265,12.475731,11.475731,13.475731,buy_from_mm,13.475731,16,-586.305075,-334.652835,2.560000,-337.212835
324,15.870272,15.792598,14.792598,16.792598,none,0.000000,16,-586.305075,-332.380726,2.560000,-334.940726
325,12.993425,8.224057,7.224057,9.224057,sell_to_mm,7.224057,17,-593.529133,-372.640915,2.890000,-375.530915
326,12.194973,6.951755,5.951755,7.951755,none,0.000000,17,-593.529133,-386.214588,2.890000,-389.104588
327,11.765007,13.106509,12.106509,14.106509,sell_to_mm,12.106509,18,-605.635642,-393.865517,3.240000,-397.105517
328,12.618060,19.591948,18.591948,20.591948,buy_from_mm,20.591948,17,-585.043694,-370.536672,2.890000,-373.426672
329,14.115947,7.349231,6.349231,8.349231,none,0.000000,17,-585.043694,-345.072595,2.890000,-347.962595
330,15.916605,13.836928,12.836928,14.836928,buy_from_mm,14.836928,16,-570.206765,-315.541087,2.560000,-318.101087
331,15.379738,14.774811,13.774811,15.774811,none,0.000000,16,-570.206765,-324.130958,2.560000,-326.690958
332,14.341116,17.346082,16.346082,18.346082,sell_to_mm,16.346082,17,-586.552847,-342.753876,2.890000,-345.643876
333,13.495531,19.831286,18.831286,20.831286,sell_to_mm,18.831286,18,-605.384133,-362.464579,3.240000,-365.704579
334,13.771916,14.242479,13.242479,15.242479,none,0.000000,18,-605.384133,-357.489640,3.240000,-360.729640
335,13.495908,10.034326,9.034326,11.034326,buy_from_mm,11.034326,17,-594.349807,-364.919365,2.890000,-367.809365
336,12.966414,6.287480,5.287480,7.287480,sell_to_mm,5.287480,18,-599.637287,-366.241837,3.240000,-369.481837
337,11.571500,8.383126,7.383126,9.383126,none,0.000000,18,-599.637287,-391.350284,3.240000,-394.590284
338,11.125324,17.857042,16.857042,18.857042,sell_to_mm,16.857042,19,-616.494330,-405.113170,3.610000,-408.723170
339,11.681613,16.419173,15.419173,17.419173,none,0.000000,19,-616.494330,-394.543689,3.610000,-398.153689
340,12.343424,15.597416,14.597416,16.597416,none,0.000000,19,-616.494330,-381.969278,3.610000,-385.579278
341,12.945156,11.160556,10.160556,12.160556,buy_from_mm,12.160556,18,-604.333774,-371.320968,3.240000,-374.560968
342,12.959498,14.931949,13.931949,15.931949,sell_to_mm,13.931949,19,-618.265722,-372.035264,3.610000,-375.645264
343,11.466434,12.607801,11.607801,13.607801,none,0.000000,19,-618.265722,-400.403468,3.610000,-404.013468
344,13.134035,9.589030,8.589030,10.589030,buy_from_mm,10.589030,18,-607.676692,-371.264066,3.240000,-374.504066
345,12.963581,8.922709,7.922709,9.922709,sell_to_mm,7.922709,19,-615.599401,-369.291363,3.610000,-372.901363
346,13.198726,11.249817,10.249817,12.249817,buy_from_mm,12.249817,18,-603.349584,-365.772523,3.240000,-369.012523
347,11.769025,9.777919,8.777919,10.777919,none,0.000000,18,-603.349584,-391.507126,3.240000,-394.747126
348,11.955259,19.976341,18.976341,20.976341,none,0.000000,18,-603.349584,-388.154916,3.240000,-391.394916
349,11.728225,15.975376,14.975376,16.975376,none,0.000000,18,-603.349584,-392.241532,3.240000,-395.481532
350,11.295718,2.143113,1.143113,3.143113,none,0.000000,18,-603.349584,-400.026668,3.240000,-403.266668
351,10.445272,6.673546,5.673546,7.673546,buy_from_mm,7.673546,17,-595.676038,-418.106422,2.890000,-420.996422
352,10.327614,6.276964,5.276964,7.276964,buy_from_mm,7.276964,16,-588.399073,-423.157250,2.560000,-425.717250
353,10.336743,14.060797,13.060797,15.060797,sell_to_mm,13.060797,17,-601.459871,-425.735238,2.890000,-428.625238
354,10.910914,7.220247,6.220247,8.220247,none,0.000000,17,-601.459871,-415.974340,2.890000,-418.864340
355,9.575110,4.872933,3.872933,5.872933,none,0.000000,17,-601.459871,-438.683007,2.890000,-441.573007
356,11.100469,2.974338,1.974338,3.974338,none,0.000000,17,-601.459871,-412.751903,2.890000,-415.641903
357,11.556009,10.505777,9.505777,11.505777,none,0.000000,17,-601.459871,-405.007713,2.890000,-407.897713
358,12.219087,15.826130,14.826130,16.826130,sell_to_mm,14.826130,18,-616.286000,-396.342434,3.240000,-399.582434
359,12.035702,16.346187,15.346187,17.346187,buy_from_mm,17.346187,17,-598.939813,-394.332872,2.890000,-397.222872
360,12.205249,9.539405,8.539405,10.539405,none,0.000000,17,-598.939813,-391.450579,2.890000,-394.340579
361,12.902573,17.729722,16.729722,18.729722,buy_from_mm,18.729722,16,-580.210091,-373.768921,2.560000,-376.328921
362,12.631173,8.616077,7.616077,9.616077,none,0.000000,16,-580.210091,-378.111319,2.560000,-380.671319
