t,true_value,signal,bid,ask,trade_side,trade_price,inventory,cash,pnl_mark_to_true,inv_penalty,risk_adj_pnl
1675,59.524163,59.929456,58.429456,61.429456,none,0.000000,15,-71.539392,821.323049,2.250000,819.073049
1676,59.227138,61.640133,60.140133,63.140133,sell_to_mm,60.140133,16,-131.679525,815.954688,2.560000,813.394688
1677,58.618626,57.942021,56.442021,59.442021,none,0.000000,16,-131.679525,806.218494,2.560000,803.658494
1678,61.645817,62.671673,61.171673,64.171673,none,0.000000,16,-131.679525,854.653541,2.560000,852.093541
1679,60.911293,61.814829,60.314829,63.314829,none,0.000000,16,-131.679525,842.901170,2.560000,840.341170
1680,59.946909,60.064533,58.564533,61.564533,none,0.000000,16,-131.679525,827.471019,2.560000,824.911019
1681,59.367301,58.973548,57.473548,60.473548,none,0.000000,16,-131.679525,818.197286,2.560000,815.637286
1682,58.376627,59.671001,58.171001,61.171001,sell_to_mm,58.171001,17,-189.850526,802.552134,2.890000,799.662134
1683,58.417333,58.883558,57.383558,60.383558,none,0.000000,17,-189.850526,803.244139,2.890000,800.354139
1684,58.610862,59.318795,57.818795,60.818795,none,0.000000,17,-189.850526,806.534134,2.890000,803.644134
1685,58.484267,58.436561,56.936561,59.936561,none,0.000000,17,-189.850526,804.382019,2.890000,801.492019
1686,57.137136,56.677113,55.177113,58.177113,none,0.000000,17,-189.850526,781.480793,2.890000,778.590793
1687,57.900400,57.047874,55.547874,58.547874,none,0.000000,17,-189.850526,794.456276,2.890000,791.566276
1688,57.840873,56.858940,55.358940,58.358940,none,0.000000,17,-189.850526,793.444319,2.890000,790.554319
1689,60.219218,61.750939,60.250939,63.250939,sell_to_mm,60.250939,18,-250.101465,833.844468,3.240000,830.604468
1690,58.316499,58.416260,56.916260,59.916260,none,0.000000,18,-250.101465,799.595517,3.240000,796.355517
1691,58.788914,59.438577,57.938577,60.938577,sell_to_mm,57.938577,19,-308.040042,808.949330,3.610000,805.339330
1692,57.669137,57.917842,56.417842,59.417842,sell_to_mm,56.417842,20,-364.457884,788.924858,4.000000,784.924858
1693,56.831102,57.592696,56.092696,59.092696,none,0.000000,20,-364.457884,772.164159,4.000000,768.164159
1694,56.153670,54.855161,53.355161,56.355161,none,0.000000,20,-364.457884,758.615508,4.000000,754.615508
1695,55.708110,54.938845,53.438845,56.438845,none,0.000000,20,-364.457884,749.704321,4.000000,745.704321
1696,53.180480,54.755522,53.255522,56.255522,none,0.000000,20,-364.457884,699.151710,4.000000,695.151710
1697,52.522454,53.751042,52.251042,55.251042,none,0.000000,20,-364.457884,685.991187,4.000000,681.991187
1698,51.421687,49.983490,48.483490,51.483490,none,0.000000,20,-364.457884,663.975853,4.000000,659.975853
1699,50.382125,52.689626,51.189626,54.189626,none,0.000000,20,-364.457884,643.184619,4.000000,639.184619
1700,48.764461,47.754626,46.254626,49.254626,none,0.000000,20,-364.457884,610.831334,4.000000,606.831334
1701,48.690515,49.388389,47.888389,50.888389,none,0.000000,20,-364.457884,609.352425,4.000000,605.352425
1702,46.856733,47.328568,45.828568,48.828568,buy_from_mm,48.828568,19,-315.629316,574.648605,3.610000,571.038605
1703,47.561027,45.713891,44.213891,47.213891,buy_from_mm,47.213891,18,-268.415425,587.683069,3.240000,584.443069
1704,46.405638,47.623512,46.123512,49.123512,none,0.000000,18,-268.415425,566.886066,3.240000,563.646066
1705,48.380518,47.725303,46.225303,49.225303,none,0.000000,18,-268.415425,602.433906,3.240000,599.193906
1706,48.147502,47.082953,45.582953,48.582953,none,0.000000,18,-268.415425,598.239603,3.240000,594.999603
1707,51.435388,50.499954,48.999954,51.999954,none,0.000000,18,-268.415425,657.421561,3.240000,654.181561
1708,52.205819,51.751954,50.251954,53.251954,sell_to_mm,50.251954,19,-318.667379,673.243175,3.610000,669.633175
1709,51.579041,51.607305,50.107305,53.107305,none,0.000000,19,-318.667379,661.334400,3.610000,657.724400
1710,50.843372,51.090605,49.590605,52.590605,none,0.000000,19,-318.667379,647.356695,3.610000,643.746695
1711,49.653230,50.797928,49.297928,52.297928,none,0.000000,19,-318.667379,624.743992,3.610000,621.133992
1712,49.351200,49.314977,47.814977,50.814977,buy_from_mm,50.814977,18,-267.852402,620.469191,3.240000,617.229191
1713,49.051119,48.133719,46.633719,49.633719,none,0.000000,18,-267.852402,615.067743,3.240000,611.827743
1714,48.393365,47.579644,46.079644,49.079644,buy_from_mm,49.079644,17,-218.772758,603.914439,2.890000,601.024439
1715,47.984682,48.479721,46.979721,49.979721,none,0.000000,17,-218.772758,596.966839,2.890000,594.076839
1716,48.108758,47.854373,46.354373,49.354373,none,0.000000,17,-218.772758,599.076124,2.890000,596.186124
1717,48.809519,48.886325,47.386325,50.386325,none,0.000000,17,-218.772758,610.989056,2.890000,608.099056
1718,47.436111,49.575237,48.075237,51.075237,sell_to_mm,48.075237,18,-266.847996,587.001994,3.240000,583.761994
1719,48.677305,49.536864,48.036864,51.036864,none,0.000000,18,-266.847996,609.343501,3.240000,606.103501
1720,49.707252,49.430170,47.930170,50.930170,none,0.000000,18,-266.847996,627.882533,3.240000,624.642533
1721,49.145142,48.077479,46.577479,49.577479,buy_from_mm,49.577479,17,-217.270517,618.196897,2.890000,615.306897
1722,47.735131,48.851171,47.351171,50.351171,none,0.000000,17,-217.270517,594.226706,2.890000,591.336706
1723,46.100838,47.180135,45.680135,48.680135,none,0.000000,17,-217.270517,566.443730,2.890000,563.553730
1724,47.340561,45.540871,44.040871,47.040871,none,0.000000,17,-217.270517,587.519021,2.890000,584.629021
1725,46.080627,44.070658,42.570658,45.570658,sell_to_mm,42.570658,18,-259.841174,569.610118,3.240000,566.370118
1726,46.566868,47.806717,46.306717,49.306717,buy_from_mm,49.306717,17,-210.534458,581.102303,2.890000,578.212303
1727,45.736220,45.665050,44.165050,47.165050,none,0.000000,17,-210.534458,566.981286,2.890000,564.091286
1728,45.628299,45.073231,43.573231,46.573231,none,0.000000,17,-210.534458,565.146632,2.890000,562.256632
1729,46.385631,46.865871,45.365871,48.365871,none,0.000000,17,-210.534458,578.021265,2.890000,575.131265
1730,45.305020,46.138644,44.638644,47.638644,none,0.000000,17,-210.534458,559.650884,2.890000,556.760884
1731,46.671013,46.750930,45.250930,48.250930,buy_from_mm,48.250930,16,-162.283528,584.452681,2.560000,581.892681
1732,45.421691,46.540074,45.040074,48.040074,none,0.000000,16,-162.283528,564.463532,2.560000,561.903532
1733,45.856227,45.758628,44.258628,47.258628,none,0.000000,16,-162.283528,571.416102,2.560000,568.856102
